County,Year,Taxes,"Permits, Fees, and Special Assessments",Permits and Franchise Fees,"Franchise Fees, Licenses, and Permits",Licenses and Permits,Intergovernmental Revenues,Charges for Services,"Judgments, Fines, and Forfeits",Miscellaneous Revenues,Other Sources,TOTAL - All Revenue Account Codes
Washington,2006-07,12667783,,,347738,,9732915,3143118,467725,2098199,3706926,32164404
Washington,2005-06,10081088,,,,242284,8471681,3014174,530815,2499210,9466745,34305997
County Totals,2015-16,13814499461,1803847427,0,0,0,4555546163,14879625833,211851662,1689802583,8889795176,45844968305
County Totals,2014-15,13005915468,1671670113,0,0,0,4455104410,14326214072,221526836,1434210352,8863115124,43977756375
County Totals,2013-14,12197478941,1494297118,0,0,0,4300002167,14076423365,208273862,1688567344,6047217510,40012260307
County Totals,2012-13,11534160367,1306930858,0,0,0,4629429207,13578334964,149093432,1709065080,7471784340,40378798248
County Totals,2011-12,11512963187,1256547262,0,0,0,4786330684,13443139962,147859301,1786384659,6952123479,39885348534
County Totals,2010-11,11934600235,1141894891,0,0,0,4970004090,13500044190,132840623,1306920416,7138707906,40125012351
County Totals,2009-10,12491742617,1151475675,0,0,0,4927452550,12998499487,128128512,1748364309,7969356287,41415019437
County Totals,2008-09,13255348649,1148357040,0,0,0,4292093941,12952038603,197036872,1795712007,10084808010,43725395122
County Totals,2007-08,13898612642,0,439347367,0,0,4414808927,13005381128,227881153,2562978144,11220835684,45769845045
County Totals,2006-07,14095102680,0,0,509212667,0,4709078128,12497607942,231717710,4189779326,10930469672,47162968125
County Totals,2005-06,12577908414,0,0,0,418797330,4986015225,11966138565,235889502,4090723429,10038091877,44313564342
